Country_Eng,Country_Rus,Price_Activate,Price_Grizzly,Qty_Activate,Qty_Grizzly,Market_Min,Market_Max,Market_Avg,Margin,Margin_Min,Margin_Max,Better_Supplier,Items_Qty
Afghanistan,Афганистан,0.75,0.0,199,3425,3.83,12.44,6.01,6.01,3.83,12.44,grizzly-sms,5
Albania,Албания,1.75,0.0,272,798,4.96,4.96,4.96,4.96,4.96,4.96,grizzly-sms,19
Algeria,Алжир,0.4,0.0,60,12698,0.44,12.44,9.67,9.67,0.44,12.44,grizzly-sms,13
Andorra,Андорра,0.8,,996,,,,,,,,,0
Angola,Ангола,0.5,0.0,972,900,0.37,8.71,2.46,2.46,0.37,8.71,grizzly-sms,15
Antigua and Barbuda,Антигуа и Барбуда,0.45,0.01,10,8,,,,,,,,0
Argentina,Аргентина,,0.01,,19445,1.23,12.44,2.36,2.36,1.22,12.43,grizzly-sms,200
Armenia,Армения,0.5,0.01,60,765,,,,,,,,0
Australia,Австралия,3,0.05,60,4425,8.09,9.27,8.11,8.06,8.04,9.22,grizzly-sms,54
Austria,Австрия,1.5,0.02,10208,78177,3.08,3.08,3.08,3.06,3.06,3.06,grizzly-sms,33
Azerbaijan,Азербайджан,,0.01,,1283,,,,,,,,0
Bahamas,Багамы,0.3,0.0,308,40,3.72,12.44,6.63,6.62,3.72,12.44,grizzly-sms,3
Bahrain,Бахрейн,,0.0,,143,,,,,,,,0
Bangladesh,Бангладеш,1.5,0.0,1055,20,0.26,8.71,3.28,3.28,0.26,8.71,grizzly-sms,200
Barbados,Барбадос,0.3,0.01,52,342,3.1,3.72,3.51,3.51,3.09,3.71,grizzly-sms,3
Belarus,Беларусь,0.85,0.01,10,214,18.66,31.1,24.88,24.87,18.65,31.09,grizzly-sms,2
Belgium,Бельгия,3,0.0,6,35,4.96,4.96,4.96,4.96,4.96,4.96,grizzly-sms,4
Belize,Белиз,,0.0,,25,3.1,4.96,3.65,3.64,3.1,4.96,grizzly-sms,19
Benin,Бенин,0.8,0.0,420,122,6.22,12.44,10.37,10.36,6.22,12.44,grizzly-sms,3
Bhutan,Бутан,0.5,0.01,62,12,1.49,1.49,1.49,1.48,1.48,1.48,grizzly-sms,55
Bolivia,Боливия,0.22,0.0,10,14909,5.6,8.71,7.97,7.97,5.6,8.71,grizzly-sms,11
Bosnia and Herzegovina,Босния и Герцеговина,0.8,0.01,996,615,1.58,4.34,4.32,4.31,1.57,4.33,grizzly-sms,133
Botswana,Ботсвана,0.4,0.01,51,2533,0.37,12.44,10.43,10.42,0.36,12.43,grizzly-sms,28
Brazil,Бразилия,1.75,0.04,494997,1023994,1.21,1.41,1.22,1.19,1.17,1.37,grizzly-sms,200
Brunei,Бруней,,0.01,,19445,,,,,,,,0
Bulgaria,Болгария,2,0.01,260,26741,1.19,3.69,3.14,3.13,1.18,3.68,grizzly-sms,142
Burkina Faso,Буркина-Фасо,0.28,0.0,751,14769,8.71,12.44,9.45,9.44,8.71,12.44,grizzly-sms,86
Burundi,Бурунди,0.3,0.0,160,6239,6.22,12.44,9.76,9.76,6.22,12.44,grizzly-sms,13
Cambodia,Камбоджа,0.76,0.01,33,19306,5.6,12.44,11.65,11.63,5.59,12.43,grizzly-sms,18
Cameroon,Камерун,0.35,0.0,406,1054,0.44,14.93,4.94,4.94,0.44,14.93,grizzly-sms,57
Canada,Канада,0.28,0.01,305,108026,0.31,6.22,1.12,1.12,0.3,6.21,grizzly-sms,200
Cape Verde,Кабо-Верде,0.45,0.0,50,153,1.93,1.93,1.93,1.93,1.93,1.93,grizzly-sms,1
Central African Republic,Центральноафриканская Республика,0.25,0.0,100,10,8.71,8.71,8.71,8.71,8.71,8.71,grizzly-sms,3
Chad,Чад,0.3,0.0,27,8959,2.48,8.71,3.41,3.41,2.48,8.71,grizzly-sms,20
Chile,Чили,0.76,0.01,317,1712,1.98,23.73,7.09,7.08,1.97,23.72,grizzly-sms,40
China,Китай,1,0.0,2,2,,,,,,,,0
Colombia,Колумбия,0.6,0.01,2845,1671,0.36,0.81,0.51,0.5,0.35,0.8,grizzly-sms,200
Comoros,Коморы,0.3,0.0,100,922,8.71,9.95,8.96,8.95,8.71,9.95,grizzly-sms,5
Costa Rica,Коста-Рика,,0.0,,10,1.31,12.44,5.76,5.75,1.31,12.44,grizzly-sms,23
Croatia,Хорватия,1.4,0.02,9,21803,4.95,4.96,4.95,4.94,4.93,4.94,grizzly-sms,4
Cuba,Куба,,0.01,,1,3.11,3.11,3.11,3.1,3.1,3.1,grizzly-sms,30
Cyprus,Кипр,,0.04,,27745,2.41,13.68,4.3,4.25,2.37,13.64,grizzly-sms,55
Denmark,Дания,2.5,0.04,12,3516,4.34,4.34,4.34,4.3,4.3,4.3,grizzly-sms,5
Djibouti,Джибути,,0.01,,11,2.75,2.75,2.75,2.74,2.74,2.74,grizzly-sms,1
Dominica,Доминика,,0.0,,11,3.72,3.72,3.72,3.72,3.72,3.72,grizzly-sms,1
Dominican Republic,Доминиканская Республика,0.42,0.0,270,996,1.49,1.49,1.49,1.49,1.49,1.49,grizzly-sms,200
Ecuador,Эквадор,0.3,0.0,321,2904,4.96,8.71,6.96,6.95,4.96,8.71,grizzly-sms,16
Egypt,Египет,0.2,0.01,10,1367,6.22,12.44,7.59,7.58,6.21,12.43,grizzly-sms,20
Equatorial Guinea,Экваториальная Гвинея,0.28,0.0,51,1557,6.22,14.93,6.64,6.64,6.22,14.93,grizzly-sms,80
Eritrea,Эритрея,,0.0,,1121,,,,,,,,0
